"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.group19-project.cs744-s19-pg0.wisc.cloudlab.us",,,,"User:","madanraj"
"Cmdline:","dstat --time --cpu --mem --load --net --output distributed_cluster2_lstm.csv",,,,"Date:","09 May 2019 23:35:18 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
09-05 23:35:18,0.021,0.008,99.970,0.000,0.0,0.000,1108836352.0,196390912.0,1776680960.0,1.9818835968e+11,0.050,0.710,1.220,0.0,0.0
09-05 23:35:19,0.0,0.025,99.975,0.0,0.0,0.0,1108803584.0,196390912.0,1776685056.0,1.98188388352e+11,0.050,0.700,1.210,6492.0,934.0
09-05 23:35:20,0.0,0.0,100.0,0.0,0.0,0.0,1108647936.0,196390912.0,1776685056.0,1.98188544e+11,0.050,0.700,1.210,6972.0,948.0
09-05 23:35:21,0.0,0.025,99.975,0.0,0.0,0.0,1108647936.0,196390912.0,1776685056.0,1.98188544e+11,0.050,0.700,1.210,7638.0,882.0
09-05 23:35:22,0.701,0.175,99.124,0.0,0.0,0.0,1117835264.0,196390912.0,1776713728.0,1.98179328e+11,0.050,0.700,1.210,22424.0,26570.0
09-05 23:35:23,4.208,6.062,89.729,0.0,0.0,0.0,1214791680.0,196390912.0,1776693248.0,1.98082392064e+11,0.050,0.700,1.210,23335.0,24357.0
09-05 23:35:24,3.675,1.125,95.200,0.0,0.0,0.0,1501671424.0,196395008.0,1776758784.0,1.97795442688e+11,0.200,0.720,1.220,12610.0,1224.0
09-05 23:35:25,2.376,0.175,97.449,0.0,0.0,0.0,1615126528.0,196395008.0,1776762880.0,1.97681983488e+11,0.200,0.720,1.220,10038.0,2802.0
09-05 23:35:26,1.500,0.975,97.524,0.0,0.0,0.0,2544463872.0,196395008.0,1776762880.0,1.96752646144e+11,0.200,0.720,1.220,9024.0,900.0
09-05 23:35:27,2.376,0.200,97.424,0.0,0.0,0.0,2557009920.0,196395008.0,1776762880.0,1.96740100096e+11,0.200,0.720,1.220,10492.0,1154.0
09-05 23:35:28,5.187,1.496,93.292,0.0,0.0,0.025,2632142848.0,196395008.0,1776762880.0,1.96664967168e+11,0.200,0.720,1.220,2184248.0,2799867.0
09-05 23:35:29,11.564,3.391,85.020,0.0,0.0,0.025,2693505024.0,196395008.0,1776762880.0,1.96603604992e+11,0.430,0.760,1.230,9047525.0,9737369.0
09-05 23:35:30,10.372,2.963,86.613,0.0,0.0,0.052,2721419264.0,196399104.0,1776762880.0,1.96575686656e+11,0.430,0.760,1.230,9723829.0,11121102.0
