"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.group19-project.cs744-s19-pg0.wisc.cloudlab.us",,,,"User:","madanraj"
"Cmdline:","dstat --time --cpu --mem --load --net --output distributed_cluster2_rnn.csv",,,,"Date:","09 May 2019 23:31:06 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
09-05 23:31:06,0.021,0.008,99.971,0.000,0.0,0.000,1099546624.0,196300800.0,1776603136.0,1.98197817344e+11,0.040,1.230,1.480,0.0,0.0
09-05 23:31:07,0.0,0.0,100.0,0.0,0.0,0.0,1099378688.0,196300800.0,1776607232.0,1.98197981184e+11,0.040,1.230,1.480,7806.0,934.0
09-05 23:31:08,0.525,0.175,99.300,0.0,0.0,0.0,1105494016.0,196300800.0,1776607232.0,1.98191865856e+11,0.040,1.230,1.480,8046.0,1836.0
09-05 23:31:09,0.476,0.225,99.299,0.0,0.0,0.0,1117499392.0,196300800.0,1776607232.0,1.9817986048e+11,0.030,1.210,1.470,32750.0,44970.0
09-05 23:31:10,6.545,8.877,84.579,0.0,0.0,0.0,1348153344.0,196300800.0,1776676864.0,1.97949136896e+11,0.030,1.210,1.470,11050.0,1668.0
09-05 23:31:11,2.655,0.826,96.519,0.0,0.0,0.0,1534873600.0,196300800.0,1776680960.0,1.97762412544e+11,0.030,1.210,1.470,12108.0,2740.0
09-05 23:31:12,2.125,0.400,97.475,0.0,0.0,0.0,1873104896.0,196300800.0,1776680960.0,1.97424181248e+11,0.030,1.210,1.470,7506.0,1214.0
09-05 23:31:13,1.875,0.650,97.475,0.0,0.0,0.0,2533658624.0,196300800.0,1776680960.0,1.9676362752e+11,0.030,1.210,1.470,8932.0,726.0
09-05 23:31:14,2.526,0.075,97.399,0.0,0.0,0.0,2548760576.0,196300800.0,1776680960.0,1.96748525568e+11,0.110,1.200,1.470,41114.0,12516.0
09-05 23:31:15,7.302,0.828,91.819,0.0,0.0,0.050,2593521664.0,196300800.0,1776680960.0,1.9670376448e+11,0.110,1.200,1.470,4634415.0,5171818.0
09-05 23:31:16,8.212,0.907,90.856,0.0,0.0,0.025,2599403520.0,196300800.0,1776680960.0,1.96697882624e+11,0.110,1.200,1.470,5485307.0,5909923.0
09-05 23:31:17,8.426,0.905,90.619,0.0,0.0,0.050,2606608384.0,196300800.0,1776680960.0,1.9669067776e+11,0.110,1.200,1.470,5351521.0,5938872.0
09-05 23:31:18,8.757,1.076,90.118,0.0,0.0,0.050,2610536448.0,196300800.0,1776680960.0,1.96686749696e+11,0.110,1.200,1.470,5536666.0,6003310.0
09-05 23:31:19,7.989,1.008,90.953,0.0,0.0,0.050,2614345728.0,196300800.0,1776680960.0,1.96682940416e+11,0.180,1.200,1.470,5363253.0,6001761.0
09-05 23:31:20,8.519,1.052,90.353,0.0,0.0,0.075,2617827328.0,196300800.0,1776680960.0,1.96679458816e+11,0.180,1.200,1.470,5632720.0,6187834.0
09-05 23:31:21,8.697,0.927,90.351,0.0,0.0,0.025,2620006400.0,196300800.0,1776680960.0,1.96677279744e+11,0.180,1.200,1.470,5718130.0,6217135.0
