"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.group19-project.cs744-s19-pg0.wisc.cloudlab.us",,,,"User:","madanraj"
"Cmdline:","dstat --time --cpu --mem --load --net --output distributed_cluster_lstm.csv",,,,"Date:","09 May 2019 23:23:19 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
09-05 23:23:19,0.017,0.007,99.975,0.000,0.0,0.000,1102856192.0,196136960.0,1776525312.0,1.9819474944e+11,0.280,1.270,1.250,0.0,0.0
09-05 23:23:20,0.0,0.0,100.0,0.0,0.0,0.0,1102544896.0,196136960.0,1776529408.0,1.9819505664e+11,0.280,1.270,1.250,11706.0,1000.0
09-05 23:23:21,0.501,0.225,99.274,0.0,0.0,0.0,1105821696.0,196136960.0,1776529408.0,1.9819177984e+11,0.280,1.270,1.250,13511.0,5449.0
09-05 23:23:22,0.601,0.275,99.124,0.0,0.0,0.0,1112776704.0,196141056.0,1776529408.0,1.98184820736e+11,0.280,1.270,1.250,32034.0,38080.0
09-05 23:23:23,6.037,6.964,86.999,0.0,0.0,0.0,1356226560.0,196141056.0,1776594944.0,1.97941305344e+11,0.280,1.270,1.250,11678.0,1566.0
09-05 23:23:24,2.423,0.924,96.653,0.0,0.0,0.0,1533288448.0,196141056.0,1776599040.0,1.9776423936e+11,0.340,1.260,1.240,12272.0,1338.0
09-05 23:23:25,2.051,0.450,97.499,0.0,0.0,0.0,1878601728.0,196145152.0,1776599040.0,1.97418921984e+11,0.340,1.260,1.240,10674.0,806.0
09-05 23:23:26,1.775,0.775,97.450,0.0,0.0,0.0,2534281216.0,196145152.0,1776599040.0,1.96763242496e+11,0.340,1.260,1.240,11012.0,2456.0
09-05 23:23:27,2.376,0.150,97.474,0.0,0.0,0.0,2561077248.0,196145152.0,1776599040.0,1.96736446464e+11,0.340,1.260,1.240,14767.0,4385.0
09-05 23:23:28,8.669,1.872,89.408,0.0,0.0,0.051,2659442688.0,196145152.0,1776599040.0,1.96638081024e+11,0.340,1.260,1.240,27196.0,2826.0
09-05 23:23:29,11.815,3.383,84.802,0.0,0.0,0.0,2688737280.0,196145152.0,1776599040.0,1.96608786432e+11,0.390,1.260,1.240,9360.0,602.0
09-05 23:23:30,14.007,3.321,82.672,0.0,0.0,0.0,2702667776.0,196145152.0,1776599040.0,1.96594855936e+11,0.390,1.260,1.240,7968.0,806.0
09-05 23:23:31,12.852,2.788,84.335,0.0,0.0,0.025,2711654400.0,196145152.0,1776599040.0,1.96585869312e+11,0.390,1.260,1.240,8514.0,4494.0
