"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.group19-project.cs744-s19-pg0.wisc.cloudlab.us",,,,"User:","madanraj"
"Cmdline:","dstat --time --cpu --mem --load --net --output distributed_cluster_rnn.csv",,,,"Date:","09 May 2019 23:13:15 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
09-05 23:13:15,0.015,0.007,99.978,0.000,0.0,0.000,1097977856.0,195899392.0,1776435200.0,1.98199955456e+11,0.040,1.450,1.230,0.0,0.0
09-05 23:13:16,0.0,0.025,99.975,0.0,0.0,0.0,1098055680.0,195899392.0,1776439296.0,1.98199873536e+11,0.040,1.450,1.230,6066.0,934.0
09-05 23:13:17,0.551,0.225,99.224,0.0,0.0,0.0,1099481088.0,195899392.0,1776439296.0,1.98198448128e+11,0.040,1.450,1.230,13338.0,9706.0
09-05 23:13:18,3.534,7.870,88.596,0.0,0.0,0.0,1129000960.0,195899392.0,1776443392.0,1.9816892416e+11,0.040,1.430,1.220,23299.0,34803.0
09-05 23:13:19,3.981,1.552,94.467,0.0,0.0,0.0,1429643264.0,195899392.0,1776513024.0,1.97868212224e+11,0.040,1.430,1.220,8158.0,866.0
09-05 23:13:20,2.374,0.150,97.451,0.0,0.0,0.025,1543761920.0,195899392.0,1776513024.0,1.97754093568e+11,0.040,1.430,1.220,6984.0,900.0
09-05 23:13:21,1.950,0.600,97.451,0.0,0.0,0.0,2097876992.0,195907584.0,1776513024.0,1.97199970304e+11,0.040,1.430,1.220,6234.0,806.0
09-05 23:13:22,2.025,0.500,97.475,0.0,0.0,0.0,2525945856.0,195907584.0,1776513024.0,1.9677190144e+11,0.040,1.430,1.220,7226.0,1014.0
09-05 23:13:23,3.055,0.175,96.770,0.0,0.0,0.0,2560593920.0,195907584.0,1776513024.0,1.96737253376e+11,0.120,1.420,1.220,23903.0,5527.0
09-05 23:13:24,7.474,0.978,91.497,0.0,0.0,0.050,2580602880.0,195907584.0,1776513024.0,1.96717244416e+11,0.120,1.420,1.220,7326.0,1540.0
09-05 23:13:25,8.246,0.827,90.877,0.0,0.0,0.050,2587070464.0,195907584.0,1776513024.0,1.96710776832e+11,0.120,1.420,1.220,6738.0,3330.0
09-05 23:13:26,8.237,0.976,90.786,0.0,0.0,0.0,2593275904.0,195907584.0,1776513024.0,1.96704571392e+11,0.120,1.420,1.220,7062.0,1188.0
09-05 23:13:27,7.760,0.907,91.308,0.0,0.0,0.025,2596802560.0,195911680.0,1776513024.0,1.9670104064e+11,0.120,1.420,1.220,7098.0,1112.0
09-05 23:13:28,8.070,0.952,90.977,0.0,0.0,0.0,2599436288.0,195911680.0,1776513024.0,1.96698406912e+11,0.190,1.410,1.220,6648.0,704.0
09-05 23:13:29,7.262,0.886,91.827,0.0,0.0,0.025,2603016192.0,195911680.0,1776513024.0,1.96694827008e+11,0.190,1.410,1.220,6978.0,4162.0
09-05 23:13:30,8.719,0.872,90.359,0.0,0.0,0.050,2604072960.0,195911680.0,1776513024.0,1.9669377024e+11,0.190,1.410,1.220,6792.0,492.0
09-05 23:13:31,7.636,0.882,91.482,0.0,0.0,0.0,2606710784.0,195911680.0,1776513024.0,1.96691132416e+11,0.190,1.410,1.220,6852.0,882.0
09-05 23:13:32,8.156,0.878,90.941,0.0,0.0,0.025,2607968256.0,195911680.0,1776513024.0,1.96689874944e+11,0.190,1.410,1.220,6972.0,492.0
09-05 23:13:33,8.479,1.022,90.449,0.0,0.0,0.050,2608877568.0,195915776.0,1776513024.0,1.96688961536e+11,0.330,1.420,1.230,7032.0,492.0
09-05 23:13:34,7.854,0.979,91.117,0.0,0.0,0.050,2609283072.0,195915776.0,1776513024.0,1.96688556032e+11,0.330,1.420,1.230,7038.0,882.0
09-05 23:13:35,7.735,0.882,91.358,0.0,0.0,0.025,2610675712.0,195915776.0,1776513024.0,1.96687163392e+11,0.330,1.420,1.230,7272.0,492.0
09-05 23:13:36,7.735,0.806,91.459,0.0,0.0,0.0,2612219904.0,195915776.0,1776517120.0,1.96685615104e+11,0.330,1.420,1.230,6972.0,492.0
09-05 23:13:37,8.404,0.875,90.695,0.0,0.0,0.025,2612219904.0,195915776.0,1776517120.0,1.96685615104e+11,0.330,1.420,1.230,7212.0,492.0
09-05 23:13:38,7.981,1.151,90.793,0.0,0.0,0.075,2613383168.0,195915776.0,1776517120.0,1.9668445184e+11,0.550,1.450,1.240,6732.0,492.0
09-05 23:13:39,8.360,1.023,90.616,0.0,0.0,0.0,2616107008.0,195915776.0,1776517120.0,1.96681728e+11,0.550,1.450,1.240,7092.0,492.0
09-05 23:13:40,8.288,0.999,90.639,0.0,0.0,0.075,2616872960.0,195915776.0,1776517120.0,1.96680962048e+11,0.550,1.450,1.240,6192.0,492.0
09-05 23:13:41,7.188,0.936,91.850,0.0,0.0,0.025,2616406016.0,195915776.0,1776517120.0,1.96681428992e+11,0.550,1.450,1.240,6186.0,492.0
09-05 23:13:42,8.626,0.798,90.551,0.0,0.0,0.025,2618728448.0,195915776.0,1776521216.0,1.96679102464e+11,0.550,1.450,1.240,5892.0,492.0
09-05 23:13:43,7.634,0.683,91.658,0.0,0.0,0.025,2620956672.0,195915776.0,1776521216.0,1.9667687424e+11,0.580,1.440,1.230,5952.0,492.0
09-05 23:13:44,8.421,0.850,90.705,0.0,0.0,0.025,2622488576.0,195915776.0,1776521216.0,1.96675342336e+11,0.580,1.440,1.230,5532.0,492.0
09-05 23:13:45,8.512,0.921,90.543,0.0,0.0,0.025,2624081920.0,195915776.0,1776521216.0,1.96673748992e+11,0.580,1.440,1.230,5772.0,492.0
09-05 23:13:46,8.549,0.897,90.528,0.0,0.0,0.025,2624348160.0,195915776.0,1776521216.0,1.96673482752e+11,0.580,1.440,1.230,5412.0,492.0
09-05 23:13:47,8.483,0.823,90.669,0.0,0.0,0.025,2625216512.0,195915776.0,1776521216.0,1.966726144e+11,0.580,1.440,1.230,5832.0,492.0
09-05 23:13:48,7.901,0.978,91.096,0.0,0.0,0.025,2625331200.0,195915776.0,1776525312.0,1.96672495616e+11,0.940,1.500,1.260,5658.0,882.0
09-05 23:13:49,7.688,0.681,91.631,0.0,0.0,0.0,2625753088.0,195915776.0,1776525312.0,1.96672073728e+11,0.940,1.500,1.260,5952.0,594.0
09-05 23:13:50,8.609,0.946,90.445,0.0,0.0,0.0,2627612672.0,195915776.0,1776525312.0,1.96670214144e+11,0.940,1.500,1.260,5958.0,1060.0
09-05 23:13:51,7.777,0.978,91.244,0.0,0.0,0.0,2627620864.0,195915776.0,1776525312.0,1.96670205952e+11,0.940,1.500,1.260,5172.0,492.0
09-05 23:13:52,8.579,0.798,90.599,0.0,0.0,0.025,2628083712.0,195915776.0,1776525312.0,1.96669743104e+11,0.940,1.500,1.260,5892.0,492.0
09-05 23:13:53,7.588,0.907,91.480,0.0,0.0,0.025,2628734976.0,195915776.0,1776525312.0,1.9666909184e+11,0.940,1.490,1.250,677295.0,744994.0
09-05 23:13:54,7.768,1.332,90.875,0.0,0.0,0.025,2630656000.0,195915776.0,1776525312.0,1.96667170816e+11,0.940,1.490,1.250,4925056.0,5447522.0
09-05 23:13:55,8.506,1.051,90.368,0.0,0.0,0.075,2632208384.0,195915776.0,1776525312.0,1.96665618432e+11,0.940,1.490,1.250,5359547.0,5819028.0
09-05 23:13:56,8.541,1.224,90.210,0.0,0.0,0.025,2634305536.0,195915776.0,1776525312.0,1.9666352128e+11,0.940,1.490,1.250,5631129.0,6184863.0
09-05 23:13:57,8.044,1.106,90.799,0.0,0.0,0.050,2634510336.0,195915776.0,1776525312.0,1.9666331648e+11,0.940,1.490,1.250,5446779.0,5999830.0
09-05 23:13:58,8.689,1.024,90.212,0.0,0.0,0.075,2634575872.0,195915776.0,1776525312.0,1.96663250944e+11,1.670,1.630,1.300,5714840.0,6185361.0
09-05 23:13:59,8.754,0.850,90.370,0.0,0.0,0.025,2636832768.0,195915776.0,1776525312.0,1.96660994048e+11,1.670,1.630,1.300,5540305.0,6184549.0
09-05 23:14:00,8.120,1.081,90.749,0.0,0.0,0.050,2634588160.0,195915776.0,1776529408.0,1.9666323456e+11,1.670,1.630,1.300,5633103.0,6277529.0
09-05 23:14:01,8.200,1.103,90.597,0.0,0.0,0.100,2639638528.0,195915776.0,1776529408.0,1.96658184192e+11,1.670,1.630,1.300,5718484.0,6096000.0
09-05 23:14:02,8.413,1.152,90.411,0.0,0.0,0.025,2636951552.0,195915776.0,1776529408.0,1.96660871168e+11,1.670,1.630,1.300,5546374.0,6186299.0
09-05 23:14:03,8.677,0.900,90.323,0.0,0.0,0.100,2638327808.0,195919872.0,1776529408.0,1.96659490816e+11,1.700,1.640,1.310,5624090.0,6183311.0
09-05 23:14:04,15.595,5.123,79.282,0.0,0.0,0.0,1289371648.0,195919872.0,1776529408.0,1.98008446976e+11,1.700,1.640,1.310,5636705.0,6186657.0
09-05 23:14:05,0.300,0.175,99.525,0.0,0.0,0.0,1286197248.0,195919872.0,1776504832.0,1.98011645952e+11,1.700,1.640,1.310,5636573.0,6274497.0
09-05 23:14:06,0.250,0.125,99.624,0.0,0.0,0.0,1286172672.0,195919872.0,1776508928.0,1.98011666432e+11,1.700,1.640,1.310,5641646.0,6190572.0
09-05 23:14:07,0.250,0.150,99.599,0.0,0.0,0.0,1285685248.0,195919872.0,1776508928.0,1.98012153856e+11,1.700,1.640,1.310,5716239.0,6277440.0
09-05 23:14:08,0.400,0.150,99.450,0.0,0.0,0.0,1285132288.0,195919872.0,1776508928.0,1.98012706816e+11,1.720,1.650,1.310,5633012.0,6190728.0
09-05 23:14:09,0.251,0.100,99.649,0.0,0.0,0.0,1284083712.0,195923968.0,1776504832.0,1.98013755392e+11,1.720,1.650,1.310,5726200.0,6096709.0
09-05 23:14:10,0.200,0.150,99.624,0.0,0.0,0.025,1284296704.0,195923968.0,1776508928.0,1.98013538304e+11,1.720,1.650,1.310,5640519.0,6371029.0
09-05 23:14:11,0.250,0.175,99.575,0.0,0.0,0.0,1282621440.0,195923968.0,1776508928.0,1.98015213568e+11,1.720,1.650,1.310,5633199.0,6184855.0
09-05 23:14:12,0.400,0.175,99.425,0.0,0.0,0.0,1282707456.0,195923968.0,1776513024.0,1.98015123456e+11,1.720,1.650,1.310,5629587.0,6094510.0
09-05 23:14:13,0.251,0.050,99.699,0.0,0.0,0.0,1281933312.0,195923968.0,1776513024.0,1.980158976e+11,1.580,1.620,1.300,5573544.0,6188875.0
09-05 23:14:14,0.300,0.175,99.500,0.0,0.0,0.025,1280290816.0,195923968.0,1776513024.0,1.98017540096e+11,1.580,1.620,1.300,5645963.0,6189630.0
09-05 23:14:15,0.150,0.050,99.799,0.0,0.0,0.0,1279315968.0,195923968.0,1776513024.0,1.98018514944e+11,1.580,1.620,1.300,5445833.0,5999553.0
09-05 23:14:16,0.275,0.100,99.625,0.0,0.0,0.0,1279070208.0,195923968.0,1776513024.0,1.98018760704e+11,1.580,1.620,1.300,5628839.0,6184767.0
09-05 23:14:17,0.325,0.200,99.450,0.0,0.0,0.025,1278963712.0,195923968.0,1776517120.0,1.98018863104e+11,1.580,1.620,1.300,5628085.0,6095086.0
09-05 23:14:18,0.250,0.100,99.649,0.0,0.0,0.0,1276825600.0,195923968.0,1776517120.0,1.98021001216e+11,1.450,1.590,1.290,5628493.0,6182326.0
09-05 23:14:19,0.275,0.150,99.575,0.0,0.0,0.0,1276547072.0,195923968.0,1776517120.0,1.98021279744e+11,1.450,1.590,1.290,5564123.0,6187300.0
09-05 23:14:20,0.250,0.100,99.625,0.0,0.0,0.025,1276596224.0,195923968.0,1776517120.0,1.98021230592e+11,1.450,1.590,1.290,5636984.0,6185278.0
09-05 23:14:21,0.325,0.100,99.575,0.0,0.0,0.0,1276088320.0,195932160.0,1776517120.0,1.98021730304e+11,1.450,1.590,1.290,5716865.0,6276843.0
