"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.group19-project.cs744-s19-pg0.wisc.cloudlab.us",,,,"User:","madanraj"
"Cmdline:","dstat --time --cpu --mem --load --net --output singlelstm.csv",,,,"Date:","09 May 2019 23:04:29 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
09-05 23:04:29,0.011,0.006,99.983,0.000,0.0,0.000,1087463424.0,195674112.0,1776390144.0,1.98210740224e+11,0.430,0.580,0.270,0.0,0.0
09-05 23:04:30,0.0,0.0,100.0,0.0,0.0,0.0,1087152128.0,195674112.0,1776394240.0,1.98211047424e+11,0.430,0.580,0.270,7266.0,934.0
09-05 23:04:31,0.576,0.200,99.224,0.0,0.0,0.0,1092644864.0,195674112.0,1776422912.0,1.98205526016e+11,0.430,0.580,0.270,12171.0,8042.0
09-05 23:04:32,2.053,5.258,92.689,0.0,0.0,0.0,1108848640.0,195674112.0,1776394240.0,1.98189350912e+11,0.430,0.580,0.270,21869.0,28619.0
09-05 23:04:33,2.225,0.275,97.500,0.0,0.0,0.0,1253191680.0,195674112.0,1776427008.0,1.98044975104e+11,0.480,0.590,0.270,7146.0,398.0
09-05 23:04:34,2.401,0.100,97.499,0.0,0.0,0.0,1352859648.0,195674112.0,1776427008.0,1.97945307136e+11,0.480,0.590,0.270,7752.0,492.0
09-05 23:04:35,1.675,0.850,97.475,0.0,0.0,0.0,2093551616.0,195674112.0,1776427008.0,1.97204615168e+11,0.480,0.590,0.270,7812.0,492.0
09-05 23:04:36,2.150,0.350,97.500,0.0,0.0,0.0,2326679552.0,195674112.0,1776427008.0,1.96971487232e+11,0.480,0.590,0.270,7332.0,492.0
09-05 23:04:37,4.956,1.527,93.517,0.0,0.0,0.0,2378383360.0,195674112.0,1776427008.0,1.96919783424e+11,0.480,0.590,0.270,7998.0,806.0
09-05 23:04:38,12.339,3.003,84.658,0.0,0.0,0.0,2421022720.0,195674112.0,1776427008.0,1.96877144064e+11,0.520,0.600,0.280,8844.0,916.0
09-05 23:04:39,14.210,2.159,83.630,0.0,0.0,0.0,2431119360.0,195674112.0,1776427008.0,1.96867047424e+11,0.520,0.600,0.280,7566.0,2400.0
09-05 23:04:40,14.435,2.882,82.683,0.0,0.0,0.0,2445594624.0,195674112.0,1776427008.0,1.9685257216e+11,0.520,0.600,0.280,7272.0,492.0
09-05 23:04:41,10.848,1.313,87.812,0.026,0.0,0.0,2450055168.0,195678208.0,1776427008.0,1.9684810752e+11,0.520,0.600,0.280,7572.0,492.0
09-05 23:04:42,13.097,2.093,84.810,0.0,0.0,0.0,2452926464.0,195678208.0,1776427008.0,1.96845236224e+11,0.520,0.600,0.280,7812.0,492.0
09-05 23:04:43,14.692,2.020,83.288,0.0,0.0,0.0,2459779072.0,195678208.0,1776427008.0,1.96838383616e+11,0.560,0.610,0.280,7392.0,492.0
09-05 23:04:44,12.313,1.420,86.267,0.0,0.0,0.0,2460590080.0,195678208.0,1776427008.0,1.96837572608e+11,0.560,0.610,0.280,8112.0,492.0
09-05 23:04:45,12.103,2.692,85.179,0.0,0.0,0.026,2463248384.0,195678208.0,1776427008.0,1.96834914304e+11,0.560,0.610,0.280,7692.0,492.0
09-05 23:04:46,13.288,1.949,84.738,0.0,0.0,0.025,2464350208.0,195678208.0,1776427008.0,1.9683381248e+11,0.560,0.610,0.280,7158.0,882.0
09-05 23:04:47,12.213,2.805,84.982,0.0,0.0,0.0,2466504704.0,195686400.0,1776427008.0,1.96831649792e+11,0.560,0.610,0.280,6852.0,492.0
09-05 23:04:48,13.535,6.842,79.623,0.0,0.0,0.0,2483773440.0,195686400.0,1776427008.0,1.96814381056e+11,0.600,0.610,0.280,7572.0,492.0
09-05 23:04:49,13.623,3.179,83.199,0.0,0.0,0.0,2489995264.0,195686400.0,1776427008.0,1.96808159232e+11,0.600,0.610,0.280,6546.0,398.0
09-05 23:04:50,13.808,5.107,81.086,0.0,0.0,0.0,2493296640.0,195686400.0,1776427008.0,1.96804857856e+11,0.600,0.610,0.280,6432.0,492.0
09-05 23:04:51,11.592,3.889,84.519,0.0,0.0,0.0,2495455232.0,195686400.0,1776427008.0,1.96802699264e+11,0.600,0.610,0.280,6852.0,492.0
09-05 23:04:52,11.431,1.840,86.729,0.0,0.0,0.0,2495774720.0,195686400.0,1776427008.0,1.96802379776e+11,0.600,0.610,0.280,6432.0,492.0
