"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.group19-project.cs744-s19-pg0.wisc.cloudlab.us",,,,"User:","madanraj"
"Cmdline:","dstat --time --cpu --mem --load --net --output singlernn.csv",,,,"Date:","09 May 2019 23:02:14 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
09-05 23:02:14,0.010,0.006,99.984,0.000,0.0,0.000,1093791744.0,195624960.0,1776357376.0,1.98204493824e+11,1.040,0.480,0.180,0.0,0.0
09-05 23:02:15,3.027,4.103,92.870,0.0,0.0,0.0,1206931456.0,195624960.0,1776394240.0,1.98091317248e+11,1.040,0.480,0.180,6258.0,9613.0
09-05 23:02:16,2.326,0.175,97.499,0.0,0.0,0.0,1321480192.0,195624960.0,1776394240.0,1.97976768512e+11,1.040,0.480,0.180,5178.0,882.0
09-05 23:02:17,1.975,0.575,97.451,0.0,0.0,0.0,1682464768.0,195624960.0,1776394240.0,1.97615783936e+11,1.040,0.480,0.180,5832.0,492.0
09-05 23:02:18,1.800,0.700,97.500,0.0,0.0,0.0,2312138752.0,195629056.0,1776390144.0,1.96986109952e+11,1.040,0.490,0.190,6672.0,558.0
09-05 23:02:19,3.681,0.325,95.994,0.0,0.0,0.0,2331037696.0,195629056.0,1776394240.0,1.96967206912e+11,1.040,0.490,0.190,6672.0,492.0
09-05 23:02:20,9.695,1.313,88.993,0.0,0.0,0.0,2341797888.0,195629056.0,1776394240.0,1.9695644672e+11,1.040,0.490,0.190,6252.0,882.0
09-05 23:02:21,10.411,1.179,88.409,0.0,0.0,0.0,2345775104.0,195629056.0,1776394240.0,1.96952469504e+11,1.040,0.490,0.190,6366.0,398.0
09-05 23:02:22,11.510,1.287,87.203,0.0,0.0,0.0,2347294720.0,195629056.0,1776394240.0,1.96950949888e+11,1.040,0.490,0.190,6432.0,492.0
09-05 23:02:23,10.098,1.407,88.495,0.0,0.0,0.0,2344636416.0,195629056.0,1776394240.0,1.96953608192e+11,1.030,0.500,0.190,7158.0,882.0
09-05 23:02:24,10.050,1.281,88.668,0.0,0.0,0.0,2346029056.0,195633152.0,1776394240.0,1.96952211456e+11,1.030,0.500,0.190,7152.0,492.0
09-05 23:02:25,9.508,1.065,89.427,0.0,0.0,0.0,2345648128.0,195633152.0,1776394240.0,1.96952592384e+11,1.030,0.500,0.190,6732.0,492.0
09-05 23:02:26,10.417,1.524,88.059,0.0,0.0,0.0,2345140224.0,195633152.0,1776394240.0,1.96953100288e+11,1.030,0.500,0.190,6372.0,546.0
09-05 23:02:27,10.0,1.256,88.744,0.0,0.0,0.0,2345775104.0,195633152.0,1776394240.0,1.96952465408e+11,1.030,0.500,0.190,6138.0,882.0
09-05 23:02:28,10.818,1.343,87.839,0.0,0.0,0.0,2345885696.0,195633152.0,1776394240.0,1.96952354816e+11,1.110,0.530,0.200,6966.0,398.0
09-05 23:02:29,9.985,1.182,88.833,0.0,0.0,0.0,2346188800.0,195633152.0,1776394240.0,1.96952051712e+11,1.110,0.530,0.200,6726.0,398.0
09-05 23:02:30,10.564,1.299,88.137,0.0,0.0,0.0,2346184704.0,195637248.0,1776394240.0,1.96952051712e+11,1.110,0.530,0.200,6792.0,492.0
09-05 23:02:31,9.720,1.360,88.920,0.0,0.0,0.0,2346594304.0,195637248.0,1776398336.0,1.96951638016e+11,1.110,0.530,0.200,7338.0,882.0
09-05 23:02:32,9.869,1.259,88.872,0.0,0.0,0.0,2346340352.0,195637248.0,1776398336.0,1.96951891968e+11,1.110,0.530,0.200,7446.0,398.0
09-05 23:02:33,9.683,1.434,88.883,0.0,0.0,0.0,2347474944.0,195637248.0,1776398336.0,1.96950757376e+11,1.660,0.650,0.240,6612.0,492.0
09-05 23:02:34,9.854,1.159,88.987,0.0,0.0,0.0,2347814912.0,195637248.0,1776398336.0,1.96950417408e+11,1.660,0.650,0.240,6366.0,398.0
09-05 23:02:35,9.819,1.557,88.624,0.0,0.0,0.0,2347941888.0,195637248.0,1776398336.0,1.96950290432e+11,1.660,0.650,0.240,6012.0,492.0
09-05 23:02:36,9.967,1.356,88.677,0.0,0.0,0.0,2347929600.0,195641344.0,1776398336.0,1.96950298624e+11,1.660,0.650,0.240,6312.0,492.0
09-05 23:02:37,8.966,1.121,89.913,0.0,0.0,0.0,2347675648.0,195641344.0,1776398336.0,1.96950552576e+11,1.660,0.650,0.240,5952.0,492.0
09-05 23:02:38,10.395,1.424,88.181,0.0,0.0,0.0,2347802624.0,195641344.0,1776398336.0,1.969504256e+11,1.610,0.660,0.250,6732.0,546.0
09-05 23:02:39,9.927,1.332,88.741,0.0,0.0,0.0,2347757568.0,195641344.0,1776398336.0,1.96950470656e+11,1.610,0.660,0.250,6078.0,882.0
09-05 23:02:40,10.273,1.203,88.524,0.0,0.0,0.0,2347630592.0,195641344.0,1776398336.0,1.96950597632e+11,1.610,0.660,0.250,6492.0,492.0
09-05 23:02:41,9.374,1.216,89.410,0.0,0.0,0.0,2348011520.0,195641344.0,1776398336.0,1.96950216704e+11,1.610,0.660,0.250,5892.0,492.0
